id,country,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,longitude,latitude,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
114,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,5583468,ORANG,2016
167,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,578321,ORANG,2017
168,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,3385860,ORANG,2017
113,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,867000,ORANG,2016
248,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,4506,ORANG,2019
60,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,5583468,ORANG,2015
59,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,62101,ORANG,2015
303,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,1270937,ORANG,2020
249,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,2485755,ORANG,2019
8,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,5583468,ORANG,2014
7,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,62101,ORANG,2014
218,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,NUSANTARA,1900000,ORANG,2018
302,INDONESIA,32,JAWA BARAT,3204,KABUPATEN BANDUNG,-6.969787645827719,107.67521232346577,MANCANEGARA,3089,ORANG,2020
275,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,5339819,ORANG,2019
274,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,100339,ORANG,2019
329,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,3440529,ORANG,2020
231,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,13701916,ORANG,2018
328,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,23431,ORANG,2020
33,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,278027,ORANG,2014
86,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1278179,ORANG,2015
140,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1289657,ORANG,2016
139,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,278027,ORANG,2016
194,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1405920,ORANG,2017
34,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,NUSANTARA,1278179,ORANG,2014
193,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,480531,ORANG,2017
85,INDONESIA,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,-6.829625000000013,107.49160799999999,MANCANEGARA,278027,ORANG,2015
31,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,MANCANEGARA,0,ORANG,2014
32,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,49740,ORANG,2014
83,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,MANCANEGARA,0,ORANG,2015
273,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,11679,ORANG,2019
230,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,45274,ORANG,2018
84,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,49740,ORANG,2015
191,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,MANCANEGARA,0,ORANG,2017
192,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,49740,ORANG,2017
326,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,MANCANEGARA,0,ORANG,2020
327,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,127500,ORANG,2020
138,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,NUSANTARA,49740,ORANG,2016
137,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,MANCANEGARA,0,ORANG,2016
272,INDONESIA,32,JAWA BARAT,3216,KABUPATEN BEKASI,-6.263427999999985,107.04666100000001,MANCANEGARA,3,ORANG,2019
53,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,MANCANEGARA,228913,ORANG,2015
242,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,MANCANEGARA,26264,ORANG,2019
108,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,4955079,ORANG,2016
107,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,MANCANEGARA,228913,ORANG,2016
243,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,2670203,ORANG,2019
54,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,4092150,ORANG,2015
1,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,MANCANEGARA,54927,ORANG,2014
215,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,4411967,ORANG,2018
296,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,MANCANEGARA,0,ORANG,2020
2,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,4075198,ORANG,2014
161,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,MANCANEGARA,677858,ORANG,2017
162,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,4411967,ORANG,2017
297,INDONESIA,32,JAWA BARAT,3201,KABUPATEN BOGOR,-6.562295999999995,106.72805799999999,NUSANTARA,28367,ORANG,2020
254,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,MANCANEGARA,35,ORANG,2019
65,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,MANCANEGARA,7,ORANG,2015
308,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,MANCANEGARA,2,ORANG,2020
173,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,MANCANEGARA,0,ORANG,2017
174,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,338310,ORANG,2017
66,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,169696,ORANG,2015
255,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,697782,ORANG,2019
119,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,MANCANEGARA,0,ORANG,2016
14,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,1074775,ORANG,2014
13,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,MANCANEGARA,6563,ORANG,2014
221,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,1347895,ORANG,2018
120,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,126022,ORANG,2016
309,INDONESIA,32,JAWA BARAT,3207,KABUPATEN CIAMIS,-7.32705400000002,108.37738000000003,NUSANTARA,616643,ORANG,2020
165,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,MANCANEGARA,287190,ORANG,2017
166,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,3614683,ORANG,2017
247,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,4312047,ORANG,2019
6,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,292919,ORANG,2014
5,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,MANCANEGARA,7824,ORANG,2014
246,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,MANCANEGARA,172140,ORANG,2019
217,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,8559255,ORANG,2018
57,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,MANCANEGARA,636,ORANG,2015
111,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,MANCANEGARA,12100,ORANG,2016
112,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,212095,ORANG,2016
300,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,MANCANEGARA,29461,ORANG,2020
301,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,1041740,ORANG,2020
58,INDONESIA,32,JAWA BARAT,3203,KABUPATEN CIANJUR,-6.810385491505724,107.14118560999158,NUSANTARA,771,ORANG,2015
259,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,260342,ORANG,2019
258,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,MANCANEGARA,15,ORANG,2019
223,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,1187576,ORANG,2018
17,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,MANCANEGARA,0,ORANG,2014
18,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,644224,ORANG,2014
70,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,644224,ORANG,2015
178,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,108463,ORANG,2017
177,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,MANCANEGARA,0,ORANG,2017
313,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,352426,ORANG,2020
312,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,MANCANEGARA,0,ORANG,2020
124,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,NUSANTARA,644224,ORANG,2016
123,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,MANCANEGARA,0,ORANG,2016
69,INDONESIA,32,JAWA BARAT,3209,KABUPATEN CIREBON,-6.730075999999996,108.536682,MANCANEGARA,0,ORANG,2015
115,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,MANCANEGARA,4983,ORANG,2016
116,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,671858,ORANG,2016
169,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,MANCANEGARA,4934,ORANG,2017
170,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,1650983,ORANG,2017
250,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,MANCANEGARA,1275,ORANG,2019
305,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,1907007,ORANG,2020
62,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,1874222,ORANG,2015
61,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,MANCANEGARA,4334,ORANG,2015
251,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,2850534,ORANG,2019
304,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,MANCANEGARA,94,ORANG,2020
10,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,2248419,ORANG,2014
9,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,MANCANEGARA,6344,ORANG,2014
219,INDONESIA,32,JAWA BARAT,3205,KABUPATEN GARUT,-7.253495999999989,107.902222,NUSANTARA,2719174,ORANG,2018
23,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,MANCANEGARA,0,ORANG,2014
318,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,MANCANEGARA,22,ORANG,2020
24,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,498362,ORANG,2014
264,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,MANCANEGARA,37,ORANG,2019
75,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,MANCANEGARA,0,ORANG,2015
76,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,498362,ORANG,2015
129,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,MANCANEGARA,0,ORANG,2016
130,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,111703,ORANG,2016
183,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,MANCANEGARA,0,ORANG,2017
184,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,318239,ORANG,2017
226,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,789742,ORANG,2018
319,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,210344,ORANG,2020
265,INDONESIA,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,-6.380812000000002,108.35266100000001,NUSANTARA,1430035,ORANG,2019
324,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,MANCANEGARA,92,ORANG,2020
325,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,1426983,ORANG,2020
29,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,MANCANEGARA,0,ORANG,2014
136,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,4574411,ORANG,2016
271,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,9452760,ORANG,2019
229,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,6390906,ORANG,2018
190,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,6390906,ORANG,2017
270,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,MANCANEGARA,1126,ORANG,2019
189,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,MANCANEGARA,6,ORANG,2017
82,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,4306641,ORANG,2015
135,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,MANCANEGARA,649,ORANG,2016
30,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,NUSANTARA,176750,ORANG,2014
81,INDONESIA,32,JAWA BARAT,3215,KABUPATEN KARAWANG,-6.271618000000003,107.30896000000001,MANCANEGARA,499,ORANG,2015
176,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,197822,ORANG,2017
257,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,358896,ORANG,2019
311,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,1270547,ORANG,2020
310,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,27,ORANG,2020
256,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,15,ORANG,2019
222,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,1974591,ORANG,2018
175,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,784,ORANG,2017
16,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,812730,ORANG,2014
67,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,116,ORANG,2015
121,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,116,ORANG,2016
122,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,1189102,ORANG,2016
15,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,MANCANEGARA,49,ORANG,2014
68,INDONESIA,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,-6.976572260941974,108.49345822601352,NUSANTARA,1189102,ORANG,2015
179,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,0,ORANG,2017
72,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,71353,ORANG,2015
261,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,699787,ORANG,2019
126,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,443001,ORANG,2016
125,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,1500,ORANG,2016
260,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,1548,ORANG,2019
314,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,0,ORANG,2020
180,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,200226,ORANG,2017
20,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,135560,ORANG,2014
224,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,230591,ORANG,2018
315,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,NUSANTARA,375000,ORANG,2020
71,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,0,ORANG,2015
19,INDONESIA,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,-6.822806999999975,108.223572,MANCANEGARA,10,ORANG,2014
87,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,0,ORANG,2015
331,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,3939992,ORANG,2020
330,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,514,ORANG,2020
141,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,10344,ORANG,2016
142,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,1824367,ORANG,2016
195,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,8689,ORANG,2017
196,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,2528273,ORANG,2017
232,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,3571,ORANG,2018
276,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,MANCANEGARA,12233,ORANG,2019
277,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,3215063,ORANG,2019
88,INDONESIA,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-7.683205171051866,108.64896997454838,NUSANTARA,0,ORANG,2015
134,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,1957194,ORANG,2016
79,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,973,ORANG,2015
